SUBMISSIONYEARQUARTER,PWSID,PWS_ACTIVITY_CODE,POPULATION_SERVED_COUNT,STATE_CODE
2026Q2,MI2005632,A,80,MI
2026Q2,MN5820414,A,25,MN
2026Q2,MN5070413,A,40,MN
2026Q2,MI2258463,A,245,MI
2026Q2,MN5560277,A,45,MN
2026Q2,MI2005062,A,30,MI
2026Q2,MI2032265,A,30,MI
2026Q2,MI2000642,A,75,MI
2026Q2,MN5850091,A,200,MN
2026Q2,MN5810115,A,25,MN
2026Q2,MN5400006,A,200,MN
2026Q2,MN5360101,A,25,MN
2026Q2,MI2281363,A,400,MI
2026Q2,MN5310094,A,50,MN
2026Q2,MN5800283,A,70,MN
2026Q2,TX1010322,A,630,TX
2026Q2,MI2019401,A,75,MI
2026Q2,MN5840027,A,25,MN
2026Q2,MI2163725,A,200,MI
2026Q2,MI2024874,A,50,MI
2026Q2,MN1490001,A,309,MN
2026Q2,MI2009854,A,50,MI
2026Q2,MI2154225,A,70,MI
2026Q2,MI2012202,A,25,MI
2026Q2,CA2300620,A,56,CA
2026Q2,MI2016146,A,30,MI
2026Q2,MI2062046,A,30,MI
2026Q2,MI2075511,A,200,MI
2026Q2,MI2075611,A,200,MI
2026Q2,MI2075711,A,200,MI
2026Q2,MI2076811,A,30,MI
2026Q2,MI2002311,A,200,MI
2026Q2,MI2072125,A,50,MI
2026Q2,MI2167525,A,100,MI
2026Q2,MI2002231,A,25,MI
2026Q2,MI2035075,A,588,MI
2026Q2,MI2035175,A,588,MI
2026Q2,MI2011975,A,590,MI
2026Q2,MI2064580,A,38,MI
2026Q2,MI2045481,A,200,MI
2026Q2,MI2069611,A,50,MI
2026Q2,MI2066311,A,250,MI
2026Q2,MI2032218,A,45,MI
2026Q2,MI2012538,A,200,MI
2026Q2,MI2011481,A,175,MI
2026Q2,MI2018724,A,250,MI
2026Q2,WA5306972,A,68,WA
2026Q2,WA5308154,A,143,WA
2026Q2,OH7773412,A,147,OH
2026Q2,TX1012965,A,6588,TX
2026Q2,NJ1924330,A,92,NJ
2026Q2,OH7932812,A,70,OH
2026Q2,VT0020800,A,290,NY
2026Q2,VT0005471,A,100,NY
2026Q2,VT0005018,A,105,NY
2026Q2,OH6332612,A,45,OH
2026Q2,VT0020691,A,278,VT
2026Q2,NJ2113335,A,50,NJ
2026Q2,NJ1506001,A,81829,NJ
2026Q2,OH5256312,A,500,OH
2026Q2,OH4643212,A,40,OH
2026Q2,OH8556112,A,55,OH
2026Q2,TX1700755,A,160,TX
2026Q2,OH5244412,A,25,OH
2026Q2,NJ2113315,A,52,NJ
2026Q2,NJ2113324,A,32,NJ
2026Q2,MN5220043,A,160,MN
2026Q2,MN5310820,A,200,MN
2026Q2,MN1570002,A,257,MN
2026Q2,MN1720005,A,599,MN
2026Q2,MN5610132,A,25,MN
2026Q2,MN1600009,A,401,MN
2026Q2,WA53AB160,A,114,WA
2026Q2,WA53AB548,A,44,WA
2026Q2,OH4236412,A,112,OH
2026Q2,MN5090066,A,25,MN
2026Q2,MN5190531,A,25,MN
2026Q2,MN1190009,A,3152,MN
2026Q2,MN5310144,A,150,MN
2026Q2,MN5700201,A,25,MN
2026Q2,MN5010422,A,150,MN
2026Q2,MN5310289,A,25,MN
2026Q2,MN5660235,A,75,MN
2026Q2,MN5271020,A,35,MN
2026Q2,MN5730677,A,70,MN
2026Q2,MN1500021,A,40,MN
2026Q2,NC0286143,A,46,NC
2026Q2,NH1859060,A,75,NH
2026Q2,NH1334010,A,51,NH
2026Q2,NH1218080,A,160,NH
2026Q2,MN5020141,A,410,MN
2026Q2,NH2037040,A,218,MA
2026Q2,MN5010367,A,25,MN
2026Q2,MN5181102,A,100,MN
2026Q2,MN5690923,A,75,MN
2026Q2,MN1840003,A,159,MN
2026Q2,MN5691135,A,25,MN
2026Q2,MN5790215,A,25,MN
2026Q2,MN5690185,A,120,MN
2026Q2,MN1780003,A,68,MN
2026Q2,SC0210004,A,1210,SC
2026Q2,MN5180526,A,70,MN
2026Q2,MN5180920,A,25,MN
2026Q2,MN5820276,A,200,MN
2026Q2,TX1013625,A,100,TX
2026Q2,OR4194129,A,100,OR
2026Q2,OR4194172,A,30,OR
2026Q2,SC1830031,A,999,SC
2026Q2,TX2480014,A,55,TX
2026Q2,TX2480015,A,55,TX
2026Q2,OH5442014,A,205,OH
2026Q2,OH3248615,A,150,OH
2026Q2,OH8549612,A,150,OH
2026Q2,MN5380130,A,25,MN
2026Q2,MN5040189,A,25,MN
2026Q2,MN5110910,A,80,MN
2026Q2,MN5730684,A,100,MN
2026Q2,MN5230146,A,350,MN
2026Q2,MN5800078,A,25,MN
2026Q2,MN5030553,A,100,MN
2026Q2,MN5370203,A,195,MN
2026Q2,MO5048267,A,80,MO
2026Q2,MN5730424,A,100,MN
2026Q2,MN5220044,A,30,MN
2026Q2,MN5550326,A,30,MN
2026Q2,NJ1427334,A,330,NJ
2026Q2,MN5500025,A,50,MN
2026Q2,MN5190177,A,200,MN
2026Q2,MN5180639,A,25,MN
2026Q2,MN5490224,A,50,MN
2026Q2,MN5130400,A,550,MN
2026Q2,IA1182035,A,69,IA
2026Q2,IA2109041,A,151,IA
2026Q2,NJ1021334,A,506,NJ
2026Q2,NJ1904302,A,1265,NJ
2026Q2,MN5820051,A,25,MN
2026Q2,NJ0805389,A,82,NJ
2026Q2,MN5730739,A,25,MN
2026Q2,NJ1922387,A,370,NJ
2026Q2,MN1590004,A,623,MN
2026Q2,PA1090063,A,16000,PA
2026Q2,MN1630002,A,276,MN
2026Q2,MN5690673,A,105,MN
2026Q2,MN5010437,A,28,MN
2026Q2,MN5040729,A,500,MN
2026Q2,MN5140016,A,25,ND
2026Q2,MN5560257,A,50,MN
2026Q2,MN5090203,A,25,MN
2026Q2,MN5730571,A,125,MN
2026Q2,MN5490300,A,550,MN
2026Q2,MN5160498,A,25,MN
2026Q2,MN5030174,A,30,MN
2026Q2,MN5140085,A,25,MN
2026Q2,MN5180221,A,150,MN
2026Q2,MN5660215,A,25,MN
2026Q2,PA7011024,A,60,PA
2026Q2,MN5840015,A,100,MN
2026Q2,MN5240043,A,644,MN
2026Q2,MN1490003,A,680,MN
2026Q2,MN5110850,A,150,MN
2026Q2,MN5860373,A,75,MN
2026Q2,WA53AB467,A,25,WA
2026Q2,WA5323016,A,133,WA
2026Q2,MN5470130,A,30,MN
2026Q2,MN5180227,A,50,MN
2026Q2,WA5319155,A,36,WA
2026Q2,MI2035458,A,75,MI
2026Q2,MI2000348,A,250,MI
2026Q2,MI2034546,A,600,MI
2026Q2,MI2252963,A,200,MI
2026Q2,WA5358750,A,222,WA
2026Q2,WA53AD722,A,52,WA
